Time,Name,ID,CPUPerc,MemUsage,MemTotal,MemPerc,NetInput,NetOutput,BlockInput,BlockOutput,PIDs
1632098423,mongo,27794d582dbc,0.16%,646.9MiB,2GiB,31.59%,3.32GB,4.72GB,791kB,1.13GB,35
1632098423,acmeair,c1688cddc438,0.89%,9.145MiB,2GiB,0.45%,8.54GB,9.66GB,401kB,4.1kB,23
1632098428,mongo,27794d582dbc,26.55%,647.2MiB,2GiB,31.60%,3.32GB,4.72GB,791kB,1.13GB,35
1632098428,acmeair,c1688cddc438,48.56%,9.281MiB,2GiB,0.45%,8.54GB,9.67GB,401kB,4.1kB,23
1632098433,mongo,27794d582dbc,26.64%,647.5MiB,2GiB,31.62%,3.32GB,4.72GB,791kB,1.13GB,35
1632098433,acmeair,c1688cddc438,48.81%,9.281MiB,2GiB,0.45%,8.55GB,9.67GB,401kB,4.1kB,23
1632098438,mongo,27794d582dbc,32.48%,648.1MiB,2GiB,31.65%,3.32GB,4.72GB,791kB,1.13GB,35
1632098438,acmeair,c1688cddc438,56.25%,9.289MiB,2GiB,0.45%,8.55GB,9.68GB,401kB,4.1kB,23
1632098443,mongo,27794d582dbc,57.56%,649.5MiB,2GiB,31.71%,3.33GB,4.73GB,791kB,1.13GB,35
1632098443,acmeair,c1688cddc438,92.38%,9.301MiB,2GiB,0.45%,8.57GB,9.69GB,401kB,4.1kB,23
1632098448,mongo,27794d582dbc,65.24%,650.5MiB,2GiB,31.76%,3.33GB,4.74GB,791kB,1.13GB,35
1632098448,acmeair,c1688cddc438,93.20%,9.301MiB,2GiB,0.45%,8.58GB,9.71GB,401kB,4.1kB,23
1632098453,mongo,27794d582dbc,55.18%,651.3MiB,2GiB,31.80%,3.34GB,4.75GB,791kB,1.14GB,35
1632098453,acmeair,c1688cddc438,91.56%,9.301MiB,2GiB,0.45%,8.59GB,9.72GB,401kB,4.1kB,23
1632098458,mongo,27794d582dbc,56.13%,651.9MiB,2GiB,31.83%,3.34GB,4.75GB,791kB,1.14GB,35
1632098458,acmeair,c1688cddc438,96.45%,9.309MiB,2GiB,0.45%,8.61GB,9.74GB,401kB,4.1kB,23
1632098463,mongo,27794d582dbc,56.09%,653MiB,2GiB,31.88%,3.35GB,4.76GB,795kB,1.14GB,35
1632098463,acmeair,c1688cddc438,96.98%,9.309MiB,2GiB,0.45%,8.62GB,9.75GB,401kB,4.1kB,23
1632098468,mongo,27794d582dbc,56.26%,653.3MiB,2GiB,31.90%,3.35GB,4.77GB,795kB,1.14GB,35
1632098468,acmeair,c1688cddc438,95.57%,9.305MiB,2GiB,0.45%,8.64GB,9.77GB,401kB,4.1kB,23
1632098473,mongo,27794d582dbc,56.22%,654.3MiB,2GiB,31.95%,3.36GB,4.78GB,795kB,1.14GB,35
1632098473,acmeair,c1688cddc438,96.57%,9.305MiB,2GiB,0.45%,8.65GB,9.79GB,401kB,4.1kB,23
1632098478,mongo,27794d582dbc,55.64%,654.8MiB,2GiB,31.97%,3.36GB,4.78GB,795kB,1.14GB,35
1632098478,acmeair,c1688cddc438,96.24%,9.305MiB,2GiB,0.45%,8.66GB,9.8GB,401kB,4.1kB,23
1632098483,mongo,27794d582dbc,55.73%,655.6MiB,2GiB,32.01%,3.37GB,4.79GB,795kB,1.15GB,35
1632098483,acmeair,c1688cddc438,94.38%,9.293MiB,2GiB,0.45%,8.68GB,9.82GB,401kB,4.1kB,23
1632098488,mongo,27794d582dbc,55.87%,656.5MiB,2GiB,32.06%,3.37GB,4.8GB,795kB,1.15GB,35
1632098488,acmeair,c1688cddc438,94.16%,9.297MiB,2GiB,0.45%,8.69GB,9.83GB,401kB,4.1kB,23
1632098493,mongo,27794d582dbc,57.05%,657.3MiB,2GiB,32.10%,3.38GB,4.8GB,795kB,1.15GB,35
1632098493,acmeair,c1688cddc438,96.25%,9.301MiB,2GiB,0.45%,8.7GB,9.85GB,401kB,4.1kB,23
1632098498,mongo,27794d582dbc,56.57%,658.5MiB,2GiB,32.15%,3.38GB,4.81GB,795kB,1.15GB,35
1632098498,acmeair,c1688cddc438,96.29%,9.301MiB,2GiB,0.45%,8.72GB,9.86GB,401kB,4.1kB,23
1632098503,mongo,27794d582dbc,57.24%,659.8MiB,2GiB,32.22%,3.39GB,4.82GB,795kB,1.15GB,35
1632098503,acmeair,c1688cddc438,95.65%,9.297MiB,2GiB,0.45%,8.73GB,9.88GB,401kB,4.1kB,23
